Date,StartTime,Duration,Activity,ActivityType,LogType,Steps,Distance,ElevationGain,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,AverageHeartRate,OutOfRangeHeartRateMinutes,FatBurnHeartRateMinutes,CardioHeartRateMinutes,PeakHeartRateMinutes
4/24/2017,15:25:01,972000,Walk,90013,auto_detected,1079,0,9.144,112,2,1,3,10,110,2,9,3,0
4/24/2017,22:29:07,1383000,Walk,90013,auto_detected,2224,0,30.48,189,0,2,5,16,113,4,11,5,0
4/26/2017,7:14:17,1930000,Run,90009,tracker,5134,5.050609,56.083,387,0,0,0,32,137,0,1,31,0
4/26/2017,12:36:05,2560000,Walk,90013,auto_detected,3483,0,12.192,279,2,6,15,19,85,26,11,0,0
4/27/2017,6:55:16,3242000,Run,90009,tracker,8605,8.709719,72.542,647,0,0,0,54,137,1,4,49,1
4/28/2017,7:48:31,1331000,Walk,90013,auto_detected,1566,0,15.24,132,4,18,0,0,78,15,2,0,0
4/28/2017,16:29:04,1075000,Walk,90013,auto_detected,1507,0,18.288,143,1,8,1,7,107,4,5,0,3
4/30/2017,7:49:23,2995000,Run,90009,tracker,8270,8.940389,42.672,608,0,0,0,50,142,1,1,48,0
4/30/2017,15:19:57,2356000,Walk,90013,auto_detected,3970,0,0,347,0,1,3,35,111,5,21,4,4
4/30/2017,19:16:19,2202000,Walk,90013,auto_detected,3593,0,0,273,0,0,7,29,101,3,31,1,0
5/1/2017,6:52:30,3182000,Run,90009,tracker,8604,8.930689,26.213,647,0,0,0,53,143,1,1,52,0
5/1/2017,18:44:21,2405000,Walk,90013,auto_detected,3979,0,0,331,0,0,4,36,109,0,28,4,0
5/2/2017,18:54:10,1178000,Walk,90013,auto_detected,1761,0,0,133,1,2,3,13,88,9,7,0,0
5/4/2017,14:32:13,1177000,Walk,90013,auto_detected,1193,0,6.096,109,3,16,0,0,94,10,8,0,0
5/4/2017,22:27:26,2048000,Walk,90013,auto_detected,3528,0,33.528,255,0,1,8,25,95,10,24,0,0
5/5/2017,8:30:48,1975000,Run,90009,tracker,5326,6.10841,51.511,387,0,0,0,33,135,1,1,31,0
5/5/2017,10:10:40,1281000,Walk,90013,auto_detected,1759,0,18.288,152,0,5,3,13,91,10,6,0,0
5/6/2017,7:51:27,3137000,Run,90009,tracker,8625,8.800669,135.331,624,0,0,0,52,139,1,1,50,0
5/7/2017,13:23:33,1741000,Walk,90013,auto_detected,2675,0,9.144,242,0,2,3,24,107,3,19,5,0
5/7/2017,14:22:26,1741000,Walk,90013,auto_detected,1779,0,0,210,3,10,5,11,107,10,8,8,0
5/7/2017,18:51:12,1640000,Walk,90013,auto_detected,2155,0,3.048,190,1,2,7,17,102,4,22,1,0
5/8/2017,8:05:41,1177000,Walk,90013,auto_detected,1851,0,0,145,1,0,1,17,96,10,10,0,0
5/8/2017,12:19:59,1332000,Walk,90013,auto_detected,1770,0,15.24,155,2,10,2,8,99,8,13,1,0
5/11/2017,8:33:27,1127000,Walk,90013,auto_detected,1747,0,18.288,135,0,2,6,10,90,11,4,1,0
5/11/2017,16:41:22,1897000,Run,90009,tracker,5174,5.596279,61.57,387,0,0,0,31,138,1,2,28,1
5/12/2017,18:48:51,2927000,Run,90009,tracker,7903,8.541229,67.666,625,0,0,0,49,144,0,1,48,0
5/13/2017,7:15:30,2228000,Run,90009,tracker,6144,6.625539,12.192,478,0,0,0,37,144,0,1,36,0
5/14/2017,9:24:13,2082000,Run,90009,tracker,5669,6.085819,15.24,440,0,0,0,34,146,1,1,31,2
5/14/2017,18:02:14,1076000,Sport,15000,auto_detected,840,0,0,108,0,1,15,2,99,0,18,0,0
5/15/2017,15:23:06,1331000,Walk,90013,auto_detected,1457,0,0,147,0,4,8,10,97,5,17,0,0
5/15/2017,19:45:56,2287000,Run,90009,tracker,6317,6.637949,48.463,489,0,0,0,39,141,0,0,38,0
5/17/2017,7:39:46,1074000,Walk,90013,auto_detected,1684,0,12.192,130,0,17,0,0,90,11,6,0,0
5/17/2017,15:17:10,1535000,Walk,90013,auto_detected,1886,0,9.144,161,1,4,7,13,89,12,11,0,0
5/17/2017,19:16:35,4167000,Run,90009,tracker,11450,12.079049,93.574,889,0,0,0,70,143,0,2,67,0
5/18/2017,15:43:11,1127000,Walk,90013,auto_detected,1093,0,9.144,125,5,8,0,5,112,3,4,4,2
5/18/2017,19:10:38,1980000,Run,90009,tracker,5414,5.928779,63.398,420,0,0,0,33,143,0,1,32,0
5/19/2017,7:50:53,1382000,Walk,90013,auto_detected,2034,0,15.24,185,1,12,1,9,93,10,6,3,2
5/19/2017,13:14:09,2727000,Run,90009,tracker,7216,7.512629,89.306,593,0,0,0,45,149,0,1,38,7
5/19/2017,21:13:01,1433000,Walk,90013,auto_detected,2217,0,0,161,0,4,4,15,92,5,8,0,0
5/19/2017,23:01:23,1485000,Walk,90013,auto_detected,2365,0,30.48,191,0,2,3,20,95,9,16,0,0
5/20/2017,7:24:52,1229000,Walk,90013,auto_detected,2098,0,6.096,152,0,1,3,16,91,12,9,0,0
5/20/2017,14:34:57,2143000,Run,90009,tracker,5798,6.220179,50.292,448,0,0,0,36,140,1,1,34,0
5/21/2017,7:56:21,3414000,Run,90009,tracker,9356,9.915289,91.135,728,0,0,0,57,144,0,2,55,1
5/21/2017,9:24:46,1434000,Walk,90013,auto_detected,1790,0,15.24,140,3,20,0,0,81,22,2,0,0
5/22/2017,12:15:01,922000,Walk,90013,auto_detected,1415,0,6.096,114,2,0,1,12,105,4,11,0,0
5/22/2017,18:10:52,3174000,Walk,90013,auto_detected,5336,0,45.72,386,0,4,17,32,79,43,5,0,0
5/23/2017,6:42:26,1777000,Run,90009,tracker,4859,4.852269,60.35,374,0,0,0,30,135,1,1,28,0
5/23/2017,16:49:22,1127000,Walk,90013,auto_detected,1350,0,9.144,120,3,1,4,10,84,9,9,0,0
5/24/2017,14:31:34,1332000,Walk,90013,auto_detected,2171,0,9.144,166,1,1,2,18,94,10,12,0,0
5/24/2017,18:58:09,16000,Run,90009,tracker,0,0,0,0,0,0,0,0,82,0,0,0,0
5/24/2017,18:58:37,3758000,Run,90009,tracker,10441,11.414849,59.436,831,0,0,0,63,144,1,1,60,0
5/25/2017,13:49:21,1126000,Walk,90013,auto_detected,1762,0,6.096,154,1,0,2,15,101,4,8,0,2
5/25/2017,16:44:03,2267000,Run,90009,tracker,6154,6.451999,94.793,476,0,0,0,37,141,1,1,35,1
5/26/2017,7:29:11,1434000,Walk,90013,auto_detected,1903,0,15.24,147,2,13,3,5,85,16,8,0,0
5/26/2017,15:24:52,3973000,Run,90009,tracker,10860,11.909849,86.563,889,0,0,0,67,147,1,1,58,6
5/27/2017,11:55:26,3198000,Run,90009,tracker,8689,9.580919,63.703,667,0,0,0,53,143,1,2,48,3
5/28/2017,14:27:21,2253000,Walk,90013,auto_detected,2662,0,0,255,0,10,10,17,89,24,5,2,2
5/28/2017,17:10:20,1229000,Walk,90013,auto_detected,1361,0,0,123,2,3,6,9,93,6,11,0,0
5/28/2017,18:23:33,1675000,Run,90009,tracker,4626,4.915789,46.634,364,0,0,0,28,144,0,1,27,0
