SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1/27/2018 12:00:00 AM,1,453,466
1/28/2018 12:00:00 AM,1,470,489
1/29/2018 12:00:00 AM,1,434,447
1/30/2018 12:00:00 AM,1,426,445
1/31/2018 12:00:00 AM,1,439,477
2/1/2018 12:00:00 AM,1,205,222
2/2/2018 12:00:00 AM,1,526,577
2/3/2018 12:00:00 AM,1,386,411
2/4/2018 12:00:00 AM,2,185,205
2/5/2018 12:00:00 AM,1,379,424
2/6/2018 12:00:00 AM,2,283,308
2/7/2018 12:00:00 AM,2,543,605
2/8/2018 12:00:00 AM,2,297,315
2/9/2018 12:00:00 AM,1,429,505
2/10/2018 12:00:00 AM,3,448,473
2/11/2018 12:00:00 AM,2,511,575
2/12/2018 12:00:00 AM,1,461,510
2/13/2018 12:00:00 AM,1,447,478
2/14/2018 12:00:00 AM,1,421,449
2/15/2018 12:00:00 AM,1,458,482
2/16/2018 12:00:00 AM,1,491,539
2/17/2018 12:00:00 AM,1,446,484
2/18/2018 12:00:00 AM,1,475,508
2/19/2018 12:00:00 AM,1,378,400
2/20/2018 12:00:00 AM,1,384,429
2/21/2018 12:00:00 AM,1,484,544
2/22/2018 12:00:00 AM,1,503,604
2/23/2018 12:00:00 AM,1,481,532
2/24/2018 12:00:00 AM,2,399,440
2/25/2018 12:00:00 AM,2,544,576
2/26/2018 12:00:00 AM,1,492,527
2/28/2018 12:00:00 AM,1,469,523
3/1/2018 12:00:00 AM,1,438,476
3/2/2018 12:00:00 AM,2,511,538
3/3/2018 12:00:00 AM,1,452,511
3/4/2018 12:00:00 AM,1,410,458
3/5/2018 12:00:00 AM,1,470,525
3/6/2018 12:00:00 AM,1,428,490
3/7/2018 12:00:00 AM,1,546,599
3/8/2018 12:00:00 AM,1,511,568
3/9/2018 12:00:00 AM,1,513,589
3/10/2018 12:00:00 AM,1,438,471
3/11/2018 12:00:00 AM,1,514,550
3/12/2018 12:00:00 AM,1,453,488
3/13/2018 12:00:00 AM,2,458,504
3/14/2018 12:00:00 AM,1,490,554
3/15/2018 12:00:00 AM,1,386,419
3/16/2018 12:00:00 AM,1,536,598
3/17/2018 12:00:00 AM,2,459,496
3/18/2018 12:00:00 AM,2,399,451
